=== NEW FRAME: w=769, h=1023, rows=200 ===
  Raw [0]: conf=1.000, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [1]: conf=1.000, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [2]: conf=0.999, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [3]: conf=0.998, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [4]: conf=0.997, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [5]: conf=0.997, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [6]: conf=0.993, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [7]: conf=0.991, rect=[321, 522, 634, 948], w=313, h=426, ar=0.73
    -> ACCEPTED into candidateBoxes: rect=[321, 522, 634, 948], conf=0.991
  Raw [8]: conf=0.991, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [9]: conf=0.867, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [10]: conf=0.793, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [11]: conf=0.786, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [12]: conf=0.763, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [13]: conf=0.737, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [14]: conf=0.736, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [15]: conf=0.715, rect=[232, 352, 557, 753], w=325, h=401, ar=0.81
    -> ACCEPTED into candidateBoxes: rect=[232, 352, 557, 753], conf=0.715
  Raw [16]: conf=0.640, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [17]: conf=0.624, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
  Raw [18]: conf=0.576, rect=[769, 1023, 769, 1023], w=0, h=0, ar=0.00
